it	posterior	likelihood	prior	accuracy	test_accuracy	acc_C0	acc_C1	acc_C2	acc_C3	acc_C4	mean_w0	std_w0	mean_w1	std_w1	mean_w2	std_w2	mean_w3	std_w3	acc_prob	mcmc_id
1100	-15580.79640372895	-3820.414041091176	-11760.382362637774	0.023001508295625944	0.010309278350515464	0.0	0.0	0.42105263157894735	0.0	0.020833333333333332	-0.001406987108292773	0.11824037033510094	0.0019067229442924773	0.11839307961645062	-0.00302317777195143	0.1185780009372031	-0.017600627513113417	0.17835005328637424	0.7054545454545454	0
1200	-15570.906921563874	-3808.6317818977122	-11762.275139666162	0.01546003016591252	0.003436426116838488	0.0	0.0	0.19548872180451127	0.0	0.0625	-0.001373506655162078	0.11912308495513257	0.0017055942812355387	0.11995242914327554	-0.002379607206248671	0.1197979766910998	-0.01078963812948016	0.18122939454759504	0.7066666666666667	0
1300	-15567.84772382142	-3802.511577904454	-11765.336145916966	0.016591251885369532	0.006872852233676976	0.0	0.0	0.24060150375939848	0.0	0.05	-0.00148283944311696	0.12097615853846687	0.0014645539319925072	0.12189719716081691	-0.0019513150464806723	0.12200453328599094	-0.013740622877996267	0.18813349612031524	0.713076923076923	0
1400	-15565.860090234684	-3798.882409166414	-11766.97768106827	0.01583710407239819	0.006872852233676976	0.0	0.0	0.21052631578947367	0.0	0.058333333333333334	-0.001321711003892546	0.12199827937834593	0.0014855278108146474	0.12278136054918769	-0.0015356494906608334	0.12309668458174082	-0.017918704976100076	0.19628413919388454	0.7107142857142857	0
1500	-15565.107620904782	-3796.0669673667426	-11769.040653538039	0.01546003016591252	0.006872852233676976	0.0	0.0	0.18045112781954886	0.0	0.07083333333333333	-0.0012736403606350536	0.1234040287237976	0.0012488522947740888	0.12415063216260376	-0.0015245448630908194	0.12365562442554157	-0.01712552333244064	0.19821711817531915	0.7046666666666667	0
1600	-15569.041676788425	-3797.5262506436325	-11771.515426144793	0.01583710407239819	0.006872852233676976	0.0	0.0	0.21052631578947367	0.0	0.058333333333333334	-0.0010192158209263716	0.12462504300027724	0.001725002819335088	0.12602419089225647	-0.001361002472118123	0.12510632630303403	-0.01928428355983263	0.19962904489203134	0.71375	0
1700	-15570.580863917097	-3796.5710706388973	-11774.0097932782	0.014705882352941176	0.003436426116838488	0.0	0.0	0.18045112781954886	0.0	0.0625	-0.0014381401445207522	0.12605148706151512	0.0017707175962483977	0.12748167931835702	-0.0017631194357221381	0.12748724029172812	-0.01546222487337419	0.20272342308721195	0.7123529411764706	0
1800	-15572.568881628114	-3796.454715445275	-11776.11416618284	0.01583710407239819	0.006872852233676976	0.0	0.0	0.19548872180451127	0.0	0.06666666666666667	-0.001516813368741398	0.1273231801699275	0.001994247912053594	0.1285534570153291	-0.0008879168853381701	0.1289641743514816	-0.016913100888322204	0.2114061454252073	0.7116666666666667	0
1900	-15575.6029698432	-3796.851177379017	-11778.751792464182	0.01546003016591252	0.003436426116838488	0.0	0.0	0.18045112781954886	0.0	0.07083333333333333	-0.001697164305017338	0.1288814302049212	0.0020399992447007577	0.13016421635729178	-4.2145448999620636e-05	0.13010364791352624	-0.016341793067987748	0.2175462152651395	0.7110526315789474	0
2000	-15577.76636400852	-3796.612183306458	-11781.15418070206	0.011689291101055807	0.003436426116838488	0.0	0.0	0.12781954887218044	0.0	0.058333333333333334	-0.0016304415886319956	0.13039960554968744	0.0017675428510274902	0.13168257446823414	0.00016527679779536586	0.1308807399976129	-0.01579418548013516	0.2189088073198031	0.709	0
