it	posterior	likelihood	prior	accuracy	test_accuracy	acc_C0	acc_C1	acc_C2	acc_C3	acc_C4	mean_w0	std_w0	mean_w1	std_w1	mean_w2	std_w2	acc_prob	mcmc_id
170	-4295.978502956175	-3640.7788100943867	-655.1996928617891	0.19982316534040673	0.2	0.0	0.0	1.0	0.0	0.0	-7.75812002174455e-05	0.2151336889788049	0.058693867059985146	0.17252557051649042	0.0636364414170139	0.30272856099290973	0.8823529411764706	0
180	-4296.672620004178	-3640.879204184025	-655.7934158201522	0.19982316534040673	0.2	0.0	0.0	1.0	0.0	0.0	-0.002964204452838053	0.21862439850672558	0.06656123644434116	0.18121705904949612	0.07432473824215653	0.3071106436840688	0.8666666666666667	0
190	-4296.604901114835	-3640.1116147685166	-656.4932863463191	0.19982316534040673	0.2	0.0	0.0	1.0	0.0	0.0	-0.007041751351265128	0.2228854263969699	0.06659173523181323	0.18552196439161775	0.04560715105286432	0.32027816366333606	0.868421052631579	0
200	-4297.905514608467	-3640.191790742167	-657.7137238662995	0.19982316534040673	0.2	0.0	0.0	1.0	0.0	0.0	-0.006381754712086758	0.2304315436429453	0.07746297521043594	0.16959946592700953	0.057376750666496355	0.3392075534019421	0.87	0
210	-4297.496345097157	-3638.8668405977724	-658.6295044993849	0.19982316534040673	0.2	0.0	0.0	1.0	0.0	0.0	-0.009918836010024768	0.23550956498558684	0.07255450488877234	0.187233394603396	0.04651620592547023	0.3483743426683096	0.8714285714285714	0
220	-4298.412930016872	-3638.9181360281227	-659.49479398875	0.19982316534040673	0.2	0.0	0.0	1.0	0.0	0.0	-0.010275830018781915	0.24024470508165088	0.06615001102851634	0.22117008704877983	0.029544637299485546	0.3472749517346803	0.8727272727272727	0
230	-4299.216644122652	-3639.192508243231	-660.024135879421	0.19982316534040673	0.2	0.0	0.0	1.0	0.0	0.0	-0.011243948593963328	0.24291690722749357	0.07071172637612903	0.21607908353088923	0.022233311295567094	0.3620490165359489	0.8782608695652174	0
240	-4301.14126311043	-3640.2357606754335	-660.9055024349965	0.2595048629531388	0.272	0.991130820399113	0.0	0.30973451327433627	0.0	0.0	-0.014189647675683403	0.24733516752318493	0.07219670542774254	0.2273220114027662	0.027371209991689342	0.3719130268123691	0.8833333333333333	0
250	-4302.100337188865	-3640.6609038830484	-661.4394333058159	0.27099911582670205	0.268	0.7893569844789357	0.0	0.5685840707964602	0.0	0.0	-0.013786152122888851	0.25054011655156194	0.07114947881106386	0.2298408179450019	0.02682470162124635	0.3730751633993283	0.872	0
260	-4301.795731113683	-3640.1754268000595	-661.6203043136242	0.19982316534040673	0.2	0.0	0.0	1.0	0.0	0.0	-0.012018668278032964	0.2522017241065654	0.06356331171787716	0.21087049327217766	0.04259515629301889	0.37625365763001634	0.8730769230769231	0
270	-4303.60221669097	-3641.6997090286973	-661.9025076622725	0.19982316534040673	0.2	0.0	0.0	1.0	0.0	0.0	-0.012214584488501306	0.25549568570172493	0.054847412148454254	0.19591968246690225	0.02401267548439406	0.35948013473778645	0.8740740740740741	0
280	-4304.701159631441	-3641.8689766989164	-662.8321829325247	0.19982316534040673	0.2	0.0	0.0	1.0	0.0	0.0	-0.013344336177582357	0.2605958667605088	0.0597626358690708	0.19535754508261627	0.02796860024776479	0.36660094663551324	0.8678571428571429	0
290	-4306.976250154117	-3642.6349592730407	-664.3412908810768	0.19982316534040673	0.2	0.0	0.0	1.0	0.0	0.0	-0.011645315671848148	0.2688416578492322	0.06670673613435311	0.21278222362881305	0.020765418546929485	0.3687114573179272	0.8689655172413793	0
300	-4308.963480364809	-3643.810918148164	-665.1525622166449	0.19982316534040673	0.2	0.0	0.0	1.0	0.0	0.0	-0.009946590588241943	0.2726036622832635	0.07106504753507721	0.2252586006909377	0.00858707034653366	0.3788607636852328	0.87	0
310	-4311.286014043459	-3645.4238276001743	-665.8621864432845	0.19982316534040673	0.2	0.0	0.0	1.0	0.0	0.0	-0.010821133663396428	0.27655171171095444	0.07097297492809639	0.23669333453659722	0.0014523792917227963	0.37242777896584395	0.867741935483871	0
320	-4310.723745657031	-3643.683669348916	-667.0400763081152	0.19982316534040673	0.2	0.0	0.0	1.0	0.0	0.0	-0.011882237291244812	0.28394069997583765	0.05271199507054111	0.24175989394653963	0.01016161682117559	0.3538297269727819	0.871875	0
330	-4310.292061976765	-3642.93705212962	-667.3550098471446	0.19982316534040673	0.2	0.0	0.0	1.0	0.0	0.0	-0.010543079468422934	0.2858849163833999	0.053766565276920926	0.2431107769189676	0.015278592344913841	0.34883318470897334	0.8696969696969697	0
340	-4311.744544563458	-3644.1374140607522	-667.607130502705	0.19938107869142352	0.2	1.0	0.0	0.0	0.0	0.0	-0.008961390007516645	0.2879789975081239	0.06338708233809583	0.23652680076935487	0.025964655531738882	0.33650553558686264	0.8676470588235294	0
350	-4311.977238419057	-3644.4698656289243	-667.5073727901332	0.34040671971706454	0.344	1.0	0.0	0.0	0.0	0.7073170731707317	-0.009495406976561947	0.2875266204857754	0.06156298863243244	0.23645308324949946	0.04104254289633112	0.33312226332394596	0.8657142857142858	0
360	-4312.202639413365	-3643.353973483322	-668.8486659300432	0.19938107869142352	0.2	1.0	0.0	0.0	0.0	0.0	-0.007821019423950833	0.294808070005528	0.06275728849091658	0.2434936923261356	0.04493123849011352	0.32521042611134987	0.8666666666666667	0
