it	posterior	likelihood	prior	accuracy	test_accuracy	f_C0	f_C1	f_C2	f_C3	f_C4	mean_w0	std_w0	mean_w1	std_w1	mean_w2	std_w2	alpha_0	alpha_1	alpha_2	acc_prob	mcmc_id
15200	-1215.1153540986454	-73.06867750813625	-1142.0466765905092	0.9973498233215548	0.996	0.19832155477031801	0.19920494699646643	0.20273851590106007	0.19876325088339222	0.20097173144876326	0.08569029940700343	0.958114540276731	-0.7399863457539303	2.1715028894564674	-0.17517836736075854	3.0013942781072482	0.015349708534500461	0.9856076939405437	0.13649973822650519	0.24888157894736843	0
15300	-1217.2674256737353	-70.50375293430058	-1146.7636727394347	0.9973498233215548	1.0	0.19832155477031801	0.19964664310954064	0.20229681978798586	0.19876325088339222	0.20097173144876326	0.08591220681443826	0.9584606934540153	-0.7556107803234707	2.1773622274583233	-0.236113627661737	3.0021854371222156	0.002580041145919353	0.9964137339137035	0.29079186865093887	0.24895424836601307	0
15400	-1212.4085627024376	-70.51725523123667	-1141.891307471201	0.9973498233215548	0.996	0.19832155477031801	0.19920494699646643	0.20273851590106007	0.19876325088339222	0.20097173144876326	0.08332264468711928	0.9614382624496278	-0.754920846993965	2.1589884909002133	-0.2210829355332846	2.9874433835238245	0.010906233066484907	0.9950116863211389	0.09381878930059828	0.24935064935064935	0
15500	-1215.2256304447383	-75.43922494939693	-1139.7864054953413	0.9973498233215548	0.996	0.19832155477031801	0.19964664310954064	0.20229681978798586	0.19876325088339222	0.20097173144876326	0.08777916024145177	0.9612363582182561	-0.7420559685631768	2.1255159697053694	-0.20229657771691628	2.9974337948027503	0.05292689038901892	0.9452585818326813	0.06506198097281271	0.24954838709677418	0
15600	-1215.224090902773	-69.73634723386142	-1145.4877436689117	0.9973498233215548	0.996	0.19832155477031801	0.19964664310954064	0.20229681978798586	0.19876325088339222	0.20097173144876326	0.08727345641621567	0.9626429526444151	-0.7322563280504575	2.137100649791289	-0.20367884795333502	2.9938045685254875	0.0891170518002935	0.9988724681339207	0.17873696248247434	0.24987179487179487	0
15700	-1215.9069546328412	-67.80662699338824	-1148.100327639453	0.9982332155477032	0.996	0.19832155477031801	0.19964664310954064	0.20141342756183744	0.19964664310954064	0.20097173144876326	0.08382187078832232	0.9637625514509128	-0.7433493893139922	2.148369434605049	-0.19401451123666663	2.9845389322895772	0.07510009492487196	0.996884469733795	0.28332334132780435	0.24929936305732484	0
15800	-1212.4542424019667	-61.35177264260332	-1151.1024697593634	0.9982332155477032	0.996	0.19832155477031801	0.19964664310954064	0.20141342756183744	0.19964664310954064	0.20097173144876326	0.08274805279336346	0.9636745822322575	-0.781241894834584	2.137222825765644	-0.19469216389101926	3.030965629083299	0.03090181058132678	0.9755024205333798	0.32698073469706374	0.24917721518987343	0
15900	-1214.3998982348721	-61.68129303915828	-1152.7186051957137	0.9973498233215548	0.996	0.19832155477031801	0.19964664310954064	0.20229681978798586	0.19876325088339222	0.20097173144876326	0.08246243773853755	0.9623887675987679	-0.7736448473190386	2.172114874259669	-0.1873853721830335	3.053409798349457	0.0820623804608158	0.9719727202952799	0.2370536247613747	0.2490566037735849	0
16000	-1214.014632719264	-59.54948376964555	-1154.4651489496184	0.9973498233215548	0.996	0.19832155477031801	0.19964664310954064	0.20229681978798586	0.19876325088339222	0.20097173144876326	0.08086693161003866	0.958930783589605	-0.8109071847750251	2.190426143104338	-0.16363575205717154	3.06399449518402	0.11218819782598918	0.9944663879896513	0.25094481710368155	0.2495625	0
16100	-1213.056432266513	-57.187160124548626	-1155.8692721419643	0.9973498233215548	0.996	0.19832155477031801	0.19964664310954064	0.20229681978798586	0.19876325088339222	0.20097173144876326	0.08052286228125181	0.9630520091682095	-0.811962591763104	2.2016127935158645	-0.18517920265999754	3.0600800805391906	0.11638614257642077	0.9951766636382214	0.17818630946819855	0.24937888198757763	0
