it	posterior	likelihood	prior	accuracy	test_accuracy	acc_C0	acc_C1	acc_C2	acc_C3	acc_C4	mean_w0	std_w0	mean_w1	std_w1	mean_w2	std_w2	acc_prob	mcmc_id
1100	-5500.172319008741	-4268.229343775232	-1231.9429752335095	0.36726998491704377	0.36082474226804123	0.9855670103092784	0.0055248618784530384	0.0	0.0	0.0625	-0.00015249936116787274	0.12250029454568973	0.009989422572433009	0.12154300293134632	-0.02092373451456583	0.07825738698486423	0.9954545454545455	0
1200	-5500.419849799563	-4268.229343775232	-1232.1905060243305	0.2960030165912519	0.27147766323024053	0.7278350515463917	0.14548802946593	0.0	0.0	0.0	-4.242087525064172e-05	0.12373268394155051	0.010578215161813025	0.12439163305598687	-0.022946212155639793	0.08081963927721501	0.9958333333333333	0
1300	-5500.696758002456	-4268.229343775232	-1232.4674142272231	0.34238310708898945	0.31958762886597936	0.9103092783505154	0.02578268876611418	0.0	0.0	0.04583333333333333	-0.00017397285688603047	0.12552186012337557	0.010751176535295549	0.1247286683228098	-0.02841444921418216	0.08569321302142023	0.9961538461538462	0
1400	-5500.956424934536	-4268.229343775232	-1232.7270811593032	0.22624434389140272	0.24054982817869416	0.4814432989690722	0.23941068139963168	0.0	0.0	0.0125	0.0005426423093082048	0.12726384788454748	0.014101900722635934	0.12518422316744435	-0.025429634555022375	0.08709168243979468	0.995	0
1500	-5501.128653221391	-4268.229343775232	-1232.899309446158	0.18250377073906485	0.20618556701030927	0.11443298969072165	0.6869244935543278	0.0	0.0	0.0	0.0008504787495563147	0.1281129862085603	0.01629407824579093	0.12623805852544048	-0.025346693516237764	0.09197125091212495	0.9953333333333333	0
1600	-5501.409958893757	-4268.229343775232	-1233.1806151185247	0.2028657616892911	0.20618556701030927	0.0	0.990791896869245	0.0	0.0	0.0	0.0007440109795793459	0.13058532221910155	0.017368996896843757	0.12279192464983928	-0.022570867209570914	0.09654280106678576	0.995625	0
1700	-5501.974154562822	-4268.229343775232	-1233.7448107875896	0.20512820512820512	0.20618556701030927	0.0	1.0	0.0	0.0013054830287206266	0.0	0.000756682272114142	0.13339525590511575	0.019442630177339392	0.1273438283184133	-0.029596364138076963	0.10314809752034342	0.9952941176470588	0
1800	-5502.171361572222	-4268.229343775232	-1233.9420177969894	0.2028657616892911	0.20618556701030927	0.002061855670103093	0.9871086556169429	0.0	0.0	0.0	0.00022837202487081213	0.13431158234735877	0.02382553536426739	0.128651754435439	-0.032422905331767574	0.10472472947227841	0.9955555555555555	0
1900	-5502.319963525133	-4268.229343775232	-1234.0906197499005	0.18891402714932126	0.19931271477663232	0.10721649484536082	0.6666666666666666	0.06015037593984962	0.03524804177545692	0.0	-0.0003992583671355066	0.13529745368343926	0.02499672357757411	0.12910249340089605	-0.027091970889499946	0.10388255115713643	0.9957894736842106	0
2000	-5502.51659029987	-4268.229343775232	-1234.287246524637	0.20512820512820512	0.2027491408934708	0.0	0.9705340699815838	0.0	0.020887728459530026	0.004166666666666667	-0.0009103153491857702	0.13645743715206926	0.02409033190660253	0.12983391136436487	-0.02828718466737607	0.10577060681673896	0.996	0
2100	-5502.9704108114465	-4268.229343775232	-1234.7410670362142	0.2055052790346908	0.2027491408934708	0.021649484536082474	0.9171270718232044	0.0	0.033942558746736295	0.0	-0.001971225701138107	0.13883763890875275	0.026817211842107103	0.13365650655042846	-0.02431799768696886	0.10365952087196638	0.9961904761904762	0
2200	-5503.152077901434	-4268.229343775232	-1234.9227341262015	0.20739064856711917	0.20962199312714777	0.0	0.990791896869245	0.0	0.015665796344647518	0.0	-0.0016784518658793665	0.13999251382818964	0.026808223706609288	0.13314252750167405	-0.023464042160605696	0.10803150908787211	0.9959090909090909	0
2300	-5503.328810329093	-4268.229343775232	-1235.0994665538612	0.21794871794871795	0.21993127147766323	0.0	0.9060773480662984	0.007518796992481203	0.11096605744125326	0.0	-0.0024666697307267164	0.1408574710289527	0.026433596944498938	0.13423454176759508	-0.02279946380067521	0.11119802363762955	0.9960869565217392	0
2400	-5503.525058398567	-4268.229343775232	-1235.2957146233346	0.23378582202111614	0.2508591065292096	0.0	0.8747697974217311	0.0	0.18929503916449086	0.0	-0.002732860509043591	0.1418378167090371	0.02673139398288588	0.13549952363496656	-0.023773384292479424	0.11280647223571537	0.9958333333333333	0
2500	-5504.059340955184	-4268.229343775232	-1235.8299971799518	0.2028657616892911	0.20962199312714777	0.0	0.8987108655616943	0.03759398496240601	0.0587467362924282	0.0	-0.002457871953265048	0.14515760005691117	0.02734480577901598	0.13518627007505077	-0.02601191461377385	0.11680241936488772	0.9956	0
2600	-5504.289066785195	-4268.229343775232	-1236.0597230099631	0.22171945701357465	0.22336769759450173	0.0	0.9337016574585635	0.0	0.10574412532637076	0.0	-0.002963656200890912	0.14621227369422338	0.02898207489733254	0.1357870933497535	-0.024237252990095094	0.12330443470218841	0.9957692307692307	0
2700	-5504.576855036852	-4268.229343775232	-1236.3475112616195	0.2654600301659125	0.27491408934707906	0.0	0.8250460405156538	0.0	0.3342036553524804	0.0	-0.002928661582960393	0.14765629068211927	0.0275862865760827	0.13711933243695193	-0.02278026781904068	0.12839006551195825	0.9955555555555555	0
2800	-5504.984654212076	-4268.229343775232	-1236.7553104368435	0.3201357466063348	0.33676975945017185	0.7670103092783506	0.053406998158379376	0.0	0.09921671018276762	0.0	-0.0038565282855620563	0.14999510738581864	0.02734475446240161	0.13808688444108266	-0.02466174645447786	0.128537182012754	0.9957142857142857	0
2900	-5505.397317919263	-4268.229343775232	-1237.1679741440303	0.32654600301659126	0.32989690721649484	0.8711340206185567	0.016574585635359115	0.0	0.015665796344647518	0.0	-0.0035587337575633524	0.15180875914383962	0.030426313558289814	0.14074562140438954	-0.028818667932453513	0.1317313196214736	0.9958620689655172	0
3000	-5505.699947123143	-4268.229343775232	-1237.470603347911	0.35180995475113125	0.36082474226804123	0.9587628865979382	0.0055248618784530384	0.0	0.0	0.0	-0.0028064583311427018	0.15352332089358203	0.030504982944355826	0.13984190246987993	-0.033161250704769614	0.13776744477040995	0.996	0
