it	posterior	likelihood	prior	accuracy	test_accuracy	f_C0	f_C1	f_C2	f_C3	f_C4	mean_w0	std_w0	mean_w1	std_w1	mean_w2	std_w2
19200	-1373.861693449114	-93.18099109077366	-1280.6807023583403	0.9982316534040672	1.0	0.19938107869142352	0.20247568523430592	0.19982316534040673	0.19938107869142352	0.1989389920424403	0.023589623349982446	1.1366784763022464	0.32131817893158654	2.652248582434845	-0.16768704038071544	3.2934405445243127
19300	-1367.525293720982	-81.40806517396055	-1286.1172285470216	0.9982316534040672	1.0	0.19938107869142352	0.20247568523430592	0.19982316534040673	0.19938107869142352	0.1989389920424403	0.019686240757296188	1.136494020342992	0.3416266393430191	2.6717595718801057	-0.08102683050187971	3.346798828109521
19400	-1373.3004294664443	-81.67968035001704	-1291.6207491164273	0.9982316534040672	1.0	0.19938107869142352	0.20247568523430592	0.19982316534040673	0.19938107869142352	0.1989389920424403	0.021365260546192606	1.145600900825938	0.32680370243898516	2.684845551062039	-0.09066128738611517	3.32287946578989
19500	-1374.6187053667682	-82.38128387007727	-1292.2374214966908	0.9982316534040672	1.0	0.19938107869142352	0.20247568523430592	0.19982316534040673	0.19938107869142352	0.1989389920424403	0.02081148303133383	1.1457264419079214	0.32894878761597257	2.680527327863395	-0.0946108638691268	3.3324275388765483
19600	-1375.6989480612822	-85.82286437909279	-1289.8760836821893	0.9982316534040672	1.0	0.19938107869142352	0.20247568523430592	0.19982316534040673	0.19938107869142352	0.1989389920424403	0.02123107806841464	1.1419628165720832	0.3127885168767096	2.6744476737741807	-0.1151733408637178	3.343121690828263
19700	-1371.4735097849896	-86.00511436782305	-1285.4683954171664	0.9982316534040672	1.0	0.19938107869142352	0.20247568523430592	0.19982316534040673	0.19938107869142352	0.1989389920424403	0.022313646424628842	1.1348535837802527	0.2984309946458969	2.6784126239516395	-0.15024468992777285	3.3494005653838244
19800	-1375.0850258614237	-87.89533679332737	-1287.1896890680964	0.9982316534040672	1.0	0.19938107869142352	0.20247568523430592	0.19982316534040673	0.19938107869142352	0.1989389920424403	0.020280295352813935	1.1370750465243735	0.2874725927467928	2.684288696909885	-0.14661895508390613	3.347266751349942
19900	-1376.787645349771	-87.79364454090452	-1288.9940008088665	0.9982316534040672	1.0	0.19938107869142352	0.20247568523430592	0.19982316534040673	0.19938107869142352	0.1989389920424403	0.022182000330618963	1.1415745715302898	0.253037974839614	2.6780809933314402	-0.12814221771029585	3.3375005535029287
20000	-1375.9890952494413	-85.85927655888267	-1290.1298186905587	0.9982316534040672	1.0	0.19938107869142352	0.20247568523430592	0.19982316534040673	0.19938107869142352	0.1989389920424403	0.02615040377081321	1.1383480685673564	0.26789272481896986	2.6888185624992724	-0.13795928717298472	3.368477126881392
20100	-1370.0608920527866	-86.62865706661687	-1283.4322349861698	0.9982316534040672	1.0	0.19938107869142352	0.20247568523430592	0.19982316534040673	0.19938107869142352	0.1989389920424403	0.02249256857182171	1.1354150833727583	0.25122972011226047	2.682395805547941	-0.08572026914441296	3.3229975800091287
