it	posterior	likelihood	prior	accuracy	test_accuracy	acc_C0	acc_C1	acc_C2	acc_C3	acc_C4	mean_w0	std_w0	mean_w1	std_w1	mean_w2	std_w2	mean_w3	std_w3	acc_prob	mcmc_id
595000	-13862.360840848072	-965.1202701321666	-12897.240570715905	0.9000754147812972	0.7766323024054983	0.9525773195876288	0.850828729281768	0.8270676691729323	0.8994778067885117	0.8416666666666667	-0.02403878245643228	0.4640576156260336	-0.020500014452105864	0.3784849406012908	-0.008502258887055643	0.5178540979483608	-0.253586639984936	0.985309019653201	0.005403361344537815	0
595100	-13862.360840848072	-965.1202701321666	-12897.240570715905	0.9000754147812972	0.7766323024054983	0.9525773195876288	0.850828729281768	0.8270676691729323	0.8994778067885117	0.8416666666666667	-0.02403878245643228	0.4640576156260336	-0.020500014452105864	0.3784849406012908	-0.008502258887055643	0.5178540979483608	-0.253586639984936	0.985309019653201	0.00540245336918165	0
595200	-13862.360840848072	-965.1202701321666	-12897.240570715905	0.9000754147812972	0.7766323024054983	0.9525773195876288	0.850828729281768	0.8270676691729323	0.8994778067885117	0.8416666666666667	-0.02403878245643228	0.4640576156260336	-0.020500014452105864	0.3784849406012908	-0.008502258887055643	0.5178540979483608	-0.253586639984936	0.985309019653201	0.005401545698924731	0
595300	-13862.360840848072	-965.1202701321666	-12897.240570715905	0.9000754147812972	0.7766323024054983	0.9525773195876288	0.850828729281768	0.8270676691729323	0.8994778067885117	0.8416666666666667	-0.02403878245643228	0.4640576156260336	-0.020500014452105864	0.3784849406012908	-0.008502258887055643	0.5178540979483608	-0.253586639984936	0.985309019653201	0.005400638333613304	0
595400	-13862.360840848072	-965.1202701321666	-12897.240570715905	0.9000754147812972	0.7766323024054983	0.9525773195876288	0.850828729281768	0.8270676691729323	0.8994778067885117	0.8416666666666667	-0.02403878245643228	0.4640576156260336	-0.020500014452105864	0.3784849406012908	-0.008502258887055643	0.5178540979483608	-0.253586639984936	0.985309019653201	0.005399731273093718	0
595500	-13862.360840848072	-965.1202701321666	-12897.240570715905	0.9000754147812972	0.7766323024054983	0.9525773195876288	0.850828729281768	0.8270676691729323	0.8994778067885117	0.8416666666666667	-0.02403878245643228	0.4640576156260336	-0.020500014452105864	0.3784849406012908	-0.008502258887055643	0.5178540979483608	-0.253586639984936	0.985309019653201	0.0053988245172124265	0
595600	-13862.360840848072	-965.1202701321666	-12897.240570715905	0.9000754147812972	0.7766323024054983	0.9525773195876288	0.850828729281768	0.8270676691729323	0.8994778067885117	0.8416666666666667	-0.02403878245643228	0.4640576156260336	-0.020500014452105864	0.3784849406012908	-0.008502258887055643	0.5178540979483608	-0.253586639984936	0.985309019653201	0.0053979180658159836	0
595700	-13862.360840848072	-965.1202701321666	-12897.240570715905	0.9000754147812972	0.7766323024054983	0.9525773195876288	0.850828729281768	0.8270676691729323	0.8994778067885117	0.8416666666666667	-0.02403878245643228	0.4640576156260336	-0.020500014452105864	0.3784849406012908	-0.008502258887055643	0.5178540979483608	-0.253586639984936	0.985309019653201	0.005397011918751049	0
595800	-13862.360840848072	-965.1202701321666	-12897.240570715905	0.9000754147812972	0.7766323024054983	0.9525773195876288	0.850828729281768	0.8270676691729323	0.8994778067885117	0.8416666666666667	-0.02403878245643228	0.4640576156260336	-0.020500014452105864	0.3784849406012908	-0.008502258887055643	0.5178540979483608	-0.253586639984936	0.985309019653201	0.005396106075864384	0
595900	-13862.360840848072	-965.1202701321666	-12897.240570715905	0.9000754147812972	0.7766323024054983	0.9525773195876288	0.850828729281768	0.8270676691729323	0.8994778067885117	0.8416666666666667	-0.02403878245643228	0.4640576156260336	-0.020500014452105864	0.3784849406012908	-0.008502258887055643	0.5178540979483608	-0.253586639984936	0.985309019653201	0.005395200537002853	0
