it	posterior	likelihood	prior	accuracy	test_accuracy	acc_C0	acc_C1	acc_C2	acc_C3	acc_C4	mean_w0	std_w0	mean_w1	std_w1	mean_w2	std_w2	acc_prob	mcmc_id
120	-4280.548079871129	-3621.4786609301027	-659.0694189410264	0.2	0.192	0.0	0.0	0.995575221238938	0.0	0.0	0.008323628772187742	0.17325595386997564	0.028114369268516338	0.25487731376166833	0.06568392812075569	0.175825002217331	0.8316831683168316	0
130	-4285.327248377779	-3625.331464520178	-659.9957838576012	0.19733333333333333	0.224	0.0	0.0	0.0	0.0	1.0	0.006492298760500478	0.1819021208473605	0.015554954943040634	0.26061132126061043	0.060975738811739545	0.15944647251391628	0.8316831683168316	0
140	-4285.753727535878	-3624.8772026701163	-660.8765248657618	0.19733333333333333	0.224	0.0	0.0	0.0	0.0	1.0	0.0069401615963822	0.18948176028327196	0.004759247282320279	0.2688823831517077	0.060165595110880404	0.139378347482366	0.801980198019802	0
150	-4286.4510218421865	-3624.965790628734	-661.4852312134524	0.19733333333333333	0.224	0.0	0.0	0.0	0.0	1.0	0.006527018468440409	0.19379190566318963	0.014634785032892282	0.2714683350321978	0.05708289581106706	0.15291079863473267	0.7920792079207921	0
160	-4284.77339724647	-3622.502248013083	-662.2711492333875	0.19733333333333333	0.224	0.0	0.0	0.0	0.0	1.0	0.008179703887521726	0.1996034789636028	0.01986133760954755	0.2737642341271964	0.05682730207342793	0.15715090020976655	0.7821782178217822	0
170	-4286.028045590664	-3622.8331011954288	-663.194944395235	0.19733333333333333	0.224	0.0	0.0	0.0	0.0	1.0	0.007935270847482632	0.2065441302121044	0.014462458105500562	0.2693091303639091	0.06077309385307961	0.16703651913592937	0.7623762376237624	0
180	-4287.346467086111	-3623.010408796982	-664.3360582891289	0.19733333333333333	0.224	0.0	0.0	0.0	0.0	1.0	0.008920708047749828	0.2149025674862851	0.0052906185263638635	0.27014009047973814	0.05575860780633145	0.1679253429767779	0.7524752475247525	0
190	-4288.530388556925	-3623.3317843406426	-665.1986042162823	0.19733333333333333	0.224	0.0	0.0	0.0	0.0	1.0	0.011204831164249604	0.2210000920035554	0.0016067861232961585	0.25902453588833774	0.06661855437026167	0.17929464174513002	0.7623762376237624	0
200	-4289.062934283721	-3622.70747216699	-666.355462116731	0.19733333333333333	0.224	0.0	0.0	0.0	0.0	1.0	0.009366389493342758	0.22761832963725792	0.005829217610870728	0.27121681741340425	0.06627676217793382	0.1994939802602985	0.7425742574257426	0
210	-4290.365534716221	-3623.2702909572126	-667.0952437590087	0.19733333333333333	0.224	0.0	0.0	0.0	0.0	1.0	0.00986354922191714	0.23247004430875068	-0.016743613842466	0.2633900983597053	0.06256903291605634	0.21291776544692026	0.7227722772277227	0
220	-4291.831382073806	-3624.3165239585624	-667.514858115243	0.2008888888888889	0.192	0.0	0.0	1.0	0.0	0.0	0.008508934681887285	0.2340745674323837	-0.013307841266655036	0.27322999170716894	0.06805524104730677	0.22771732073213377	0.6732673267326733	0
230	-4292.07911721884	-3623.543698920552	-668.5354182982887	0.20044444444444445	0.196	0.0	1.0	0.0	0.0	0.0	0.005999770655370365	0.24121912979404397	-0.014236927287430996	0.2694329177823488	0.06909994864857909	0.22261608314854994	0.6534653465346535	0
240	-4293.128673387775	-3622.6018806589095	-670.526792728866	0.20222222222222222	0.18	0.0	0.0	0.0	1.0	0.0	0.008525975336783174	0.2525437639778481	-0.006243764262890428	0.28200093830983114	0.08816432006080148	0.22702685548861193	0.6732673267326733	0
250	-4295.364593351695	-3624.030988986776	-671.3336043649186	0.2008888888888889	0.192	0.0	0.0	1.0	0.0	0.0	0.010265952403102845	0.2569965731296332	-0.017919080326423385	0.2946398731887353	0.07889796241593307	0.22320935637076864	0.6732673267326733	0
260	-4295.055282134185	-3623.1833170132304	-671.871965120955	0.20222222222222222	0.18	0.0	0.0	0.0	1.0	0.0	0.006392620310834846	0.2607482092970909	-0.022199085605161838	0.28296762437489115	0.07697218227743965	0.22849389881588134	0.6831683168316832	0
270	-4297.015440437291	-3624.546634967048	-672.4688054702426	0.20222222222222222	0.18	0.0	0.0	0.0	1.0	0.0	0.007758431217695777	0.26320873436784165	-0.019539242486709726	0.3072295952810949	0.0669854807734783	0.2260411640503226	0.6732673267326733	0
280	-4296.593833672891	-3622.721741908211	-673.8720917646806	0.2008888888888889	0.192	0.0	0.0	1.0	0.0	0.0	0.008955176033942015	0.27050129306952597	-0.017164764356739148	0.3191685782710797	0.06897283758421718	0.22994560772823966	0.693069306930693	0
