it	posterior	likelihood	prior	accuracy	test_accuracy	acc_C0	acc_C1	acc_C2	acc_C3	acc_C4	mean_w0	std_w0	mean_w1	std_w1	mean_w2	std_w2	mean_w3	std_w3	acc_prob	mcmc_id
715100	-14905.210311878698	-2746.1163457697207	-12159.093966108978	0.6602564102564102	0.6116838487972509	0.843298969072165	0.4880294659300184	0.0	0.7088772845953003	0.5208333333333334	0.0024961954774605777	0.2744775668971695	-0.0007322351057212961	0.27531434383614695	-0.0018543033668083923	0.2785373554934927	-0.017198669947284938	0.4729288925509244	0.019476996224304294	0
715200	-14905.210311878698	-2746.1163457697207	-12159.093966108978	0.6602564102564102	0.6116838487972509	0.843298969072165	0.4880294659300184	0.0	0.7088772845953003	0.5208333333333334	0.0024961954774605777	0.2744775668971695	-0.0007322351057212961	0.27531434383614695	-0.0018543033668083923	0.2785373554934927	-0.017198669947284938	0.4729288925509244	0.01947427293064877	0
715300	-14905.210311878698	-2746.1163457697207	-12159.093966108978	0.6602564102564102	0.6116838487972509	0.843298969072165	0.4880294659300184	0.0	0.7088772845953003	0.5208333333333334	0.0024961954774605777	0.2744775668971695	-0.0007322351057212961	0.27531434383614695	-0.0018543033668083923	0.2785373554934927	-0.017198669947284938	0.4729288925509244	0.019471550398434224	0
715400	-14905.210311878698	-2746.1163457697207	-12159.093966108978	0.6602564102564102	0.6116838487972509	0.843298969072165	0.4880294659300184	0.0	0.7088772845953003	0.5208333333333334	0.0024961954774605777	0.2744775668971695	-0.0007322351057212961	0.27531434383614695	-0.0018543033668083923	0.2785373554934927	-0.017198669947284938	0.4729288925509244	0.019468828627341346	0
715500	-14905.210311878698	-2746.1163457697207	-12159.093966108978	0.6602564102564102	0.6116838487972509	0.843298969072165	0.4880294659300184	0.0	0.7088772845953003	0.5208333333333334	0.0024961954774605777	0.2744775668971695	-0.0007322351057212961	0.27531434383614695	-0.0018543033668083923	0.2785373554934927	-0.017198669947284938	0.4729288925509244	0.019466107617051014	0
715600	-14906.882153959923	-2747.6768991182244	-12159.2052548417	0.6534690799396682	0.5945017182130584	0.856701030927835	0.45119705340699817	0.0	0.695822454308094	0.5166666666666667	0.0025088347175016897	0.2745130511635597	-0.0007190237053954632	0.2753375901990953	-0.001866748406406336	0.2785868452829882	-0.01733648744362468	0.4730000843474679	0.019464784795975406	0
715700	-14905.143840164852	-2745.863686688286	-12159.280153476566	0.6591251885369532	0.6013745704467354	0.8525773195876288	0.44014732965009207	0.0	0.7402088772845953	0.4791666666666667	0.0025130507384743227	0.27451929629176547	-0.0007127678731903812	0.2753419638807879	-0.0018388848401123847	0.27857719417094634	-0.017651652916357924	0.47429054576605534	0.01946485957803549	0
715800	-14905.143840164852	-2745.863686688286	-12159.280153476566	0.6591251885369532	0.6013745704467354	0.8525773195876288	0.44014732965009207	0.0	0.7402088772845953	0.4791666666666667	0.0025130507384743227	0.27451929629176547	-0.0007127678731903812	0.2753419638807879	-0.0018388848401123847	0.27857719417094634	-0.017651652916357924	0.47429054576605534	0.019462140262643198	0
715900	-14905.143840164852	-2745.863686688286	-12159.280153476566	0.6591251885369532	0.6013745704467354	0.8525773195876288	0.44014732965009207	0.0	0.7402088772845953	0.4791666666666667	0.0025130507384743227	0.27451929629176547	-0.0007127678731903812	0.2753419638807879	-0.0018388848401123847	0.27857719417094634	-0.017651652916357924	0.47429054576605534	0.01945942170694231	0
716000	-14905.143840164852	-2745.863686688286	-12159.280153476566	0.6591251885369532	0.6013745704467354	0.8525773195876288	0.44014732965009207	0.0	0.7402088772845953	0.4791666666666667	0.0025130507384743227	0.27451929629176547	-0.0007127678731903812	0.2753419638807879	-0.0018388848401123847	0.27857719417094634	-0.017651652916357924	0.47429054576605534	0.019456703910614524	0
716100	-14905.143840164852	-2745.863686688286	-12159.280153476566	0.6591251885369532	0.6013745704467354	0.8525773195876288	0.44014732965009207	0.0	0.7402088772845953	0.4791666666666667	0.0025130507384743227	0.27451929629176547	-0.0007127678731903812	0.2753419638807879	-0.0018388848401123847	0.27857719417094634	-0.017651652916357924	0.47429054576605534	0.01945398687334171	0
716200	-14905.143840164852	-2745.863686688286	-12159.280153476566	0.6591251885369532	0.6013745704467354	0.8525773195876288	0.44014732965009207	0.0	0.7402088772845953	0.4791666666666667	0.0025130507384743227	0.27451929629176547	-0.0007127678731903812	0.2753419638807879	-0.0018388848401123847	0.27857719417094634	-0.017651652916357924	0.47429054576605534	0.01945127059480592	0
716300	-14905.87494541988	-2746.2949641831283	-12159.579981236753	0.6557315233785822	0.6013745704467354	0.8587628865979381	0.43830570902394106	0.0	0.7245430809399478	0.4708333333333333	0.002543402655294517	0.2745767170675047	-0.0006924813866321739	0.2754263995271398	-0.0017463351921448392	0.2786947671498676	-0.01748789755493816	0.4750496094597848	0.01945134720089348	0
716400	-14905.87494541988	-2746.2949641831283	-12159.579981236753	0.6557315233785822	0.6013745704467354	0.8587628865979381	0.43830570902394106	0.0	0.7245430809399478	0.4708333333333333	0.002543402655294517	0.2745767170675047	-0.0006924813866321739	0.2754263995271398	-0.0017463351921448392	0.2786947671498676	-0.01748789755493816	0.4750496094597848	0.01944863204913456	0
716500	-14904.701647668577	-2745.1544221448257	-12159.547225523751	0.6564856711915535	0.6013745704467354	0.8546391752577319	0.4419889502762431	0.0	0.7219321148825065	0.49583333333333335	0.0026087600886735506	0.2745675839622473	-0.0006475382217052504	0.27541313104354676	-0.0015734993762699663	0.27870690665221054	-0.017231393134563445	0.4750225245170939	0.01944731332868109	0
716600	-14904.701647668577	-2745.1544221448257	-12159.547225523751	0.6564856711915535	0.6013745704467354	0.8546391752577319	0.4419889502762431	0.0	0.7219321148825065	0.49583333333333335	0.0026087600886735506	0.2745675839622473	-0.0006475382217052504	0.27541313104354676	-0.0015734993762699663	0.27870690665221054	-0.017231393134563445	0.4750225245170939	0.019444599497627685	0
716700	-14904.701647668577	-2745.1544221448257	-12159.547225523751	0.6564856711915535	0.6013745704467354	0.8546391752577319	0.4419889502762431	0.0	0.7219321148825065	0.49583333333333335	0.0026087600886735506	0.2745675839622473	-0.0006475382217052504	0.27541313104354676	-0.0015734993762699663	0.27870690665221054	-0.017231393134563445	0.4750225245170939	0.01944188642388726	0
